,time
1228,3578
1229,3579
1230,3580
1231,3581
1232,3582
1233,3583
1234,3584
1235,3587
1236,3588
1237,3589
1238,3590
1239,3591
1240,3592
1241,3593
1242,3594
1243,3595
1244,3596
1245,3597
1246,3598
1247,3599
1248,3600
1249,3601
1250,3602
1251,3603
1252,3604
1253,3605
1254,3606
1255,3607
1256,3608
1257,3609
1258,3610
1259,3611
1260,3612
1261,3613
1262,3614
1263,3615
1264,3616
1265,3617
1266,3618
1267,3619
1268,3620
1269,3621
1270,3622
1271,3623
1272,3624
1273,3625
1274,3626
1275,3627
1276,3628
1277,3629
1278,3630
1279,3632
1280,3636
1281,3637
1282,3638
1283,3639
1284,3640
1285,3641
1286,3642
1287,3643
1288,3644
1289,3645
1290,3646
1291,3647
1292,3648
1293,3649
1294,3650
1295,3651
1296,3652
1297,3653
1298,3655
1299,3656
1300,3657
1301,3658
1302,3660
1303,3663
1304,3664
1305,3665
1306,3669
1307,3670
1308,3672
1309,3683
1310,3685
1311,3687
1312,3688
1313,3693
1314,3715
1315,3716
1316,3762
1317,3782
1318,3783
1319,3784
1320,3785
1321,3786
1322,3787
1323,3788
1324,3790
1325,3791
1326,3792
1327,3793
1328,3794
1329,3795
1330,3796
1331,3797
1332,3799
1333,3801
1334,3803
1335,3826
1336,3827
1337,3828
1338,3829
1339,3830
1340,3831
1341,3832
1342,3833
1343,3834
1344,3835
1345,3836
1346,3837
1347,3838
1348,3839
1349,3840
1350,3841
1351,3842
1352,3843
1353,3844
1354,3845
1355,3846
1356,3847
1357,3848
1358,3849
1359,3850
1360,3851
1361,3852
1362,3853
1363,3854
1364,3855
1365,3856
1366,3857
1367,3858
1368,3859
1369,3860
1370,3861
1371,3862
1372,3863
1373,3864
1374,3865
1375,3866
1376,3867
1377,3868
1378,3869
1379,3870
1380,3871
1381,3872
1382,3873
1383,3874
1384,3875
1385,3876
1386,3877
1387,3878
1388,3879
1389,3880
1390,3881
1391,3882
1392,3883
1393,3884
1394,3885
1395,3886
1396,3887
1397,3888
1398,3889
1399,3890
1400,3891
1401,3892
1402,3893
1403,3894
1404,3895
1405,3896
1406,3897
1407,3898
1408,3899
1409,3900
1410,3901
1411,3902
1412,3903
1413,3904
1414,3905
1415,3906
1416,3907
1417,3908
1418,3909
1419,3910
1420,3911
1421,3912
1422,3913
1423,3914
1424,3915
1425,3916
1426,3917
1427,3918
1428,3919
1429,3920
1430,3921
1431,3922
1432,3923
1433,3924
1434,3925
1435,3926
1436,3927
1437,3928
1438,3929
1439,3930
1440,3931
1441,3932
1442,3933
1443,3934
1444,3935
1445,3936
1446,3937
1447,3938
1448,3939
1449,3940
1450,3941
1451,3942
1452,3943
1453,3944
1454,3945
1455,3946
1456,3947
1457,3948
1458,3949
1459,3950
1460,3951
1461,3952
1462,3953
1463,3954
1464,3955
1465,3956
1466,3957
1467,3958
1468,3959
1469,3960
1470,3961
1471,3962
1472,3963
1473,3964
1474,3965
1475,3966
1476,3967
1477,3968
1478,3969
1479,3970
1480,3971
1481,3972
1482,3973
1483,3974
1484,3975
1485,3976
1486,3977
1487,3978
1488,3979
1489,3980
1490,3981
1491,3982
1492,3983
1493,3984
1494,3985
1495,3986
1496,3987
1497,3988
1498,3989
1499,3990
1500,3991
1501,3992
1502,3993
1503,3994
1504,3995
1505,3996
1506,3997
1507,3998
1508,3999
1509,4000
1510,4001
1511,4002
1512,4003
1513,4004
1514,4005
1515,4006
1516,4007
1517,4008
1518,4009
1519,4010
1520,4011
1521,4012
1522,4013
1523,4014
1524,4015
1525,4016
1526,4017
1527,4018
1528,4019
1529,4020
1530,4021
1531,4022
1532,4023
1533,4024
1534,4025
1535,4026
1536,4027
1537,4028
1538,4029
1539,4030
1540,4031
1541,4032
1542,4033
1543,4034
1544,4035
1545,4036
1546,4037
1547,4038
1548,4039
1549,4040
1550,4041
1551,4042
1552,4043
1553,4044
1554,4045
1555,4046
1556,4047
1557,4048
1558,4049
1559,4050
1560,4051
1561,4052
1562,4053
1563,4054
1564,4055
1565,4056
1566,4057
1567,4058
1568,4059
1569,4060
1570,4061
1571,4062
1572,4063
1573,4064
1574,4065
1575,4066
1576,4067
1577,4068
1578,4069
1579,4070
1580,4071
1581,4072
1582,4073
1583,4074
1584,4075
1585,4076
1586,4077
1587,4078
1588,4079
1589,4080
1590,4081
1591,4082
1592,4083
1593,4084
1594,4085
1595,4086
1596,4087
1597,4088
1598,4089
1599,4090
1600,4091
1601,4092
1602,4093
1603,4094
1604,4095
1605,4096
