,time
1310,3294
1311,3295
1312,3296
1313,3297
1314,3298
1315,3299
1316,3300
1317,3301
1318,3302
1319,3303
1320,3304
1321,3305
1322,3310
1323,3315
1324,3316
1325,3319
1326,3321
1327,3323
1328,3326
1329,3328
1330,3331
1331,3334
1332,3335
1333,3337
1334,3339
1335,3346
1336,3348
1337,3354
1338,3356
1339,3357
1340,3358
1341,3361
1342,3364
1343,3366
1344,3367
1345,3369
1346,3372
1347,3378
1348,3379
1349,3380
1350,3381
1351,3382
1352,3383
1353,3384
1354,3385
1355,3386
1356,3390
1357,3398
1358,3399
1359,3422
1360,3425
1361,3427
1362,3428
1363,3429
1364,3431
1365,3432
1366,3437
1367,3438
1368,3441
1369,3444
1370,3445
1371,3449
1372,3455
1373,3456
1374,3457
1375,3461
1376,3462
1377,3466
1378,3473
1379,3474
1380,3477
1381,3478
1382,3479
1383,3482
1384,3490
1385,3492
1386,3502
1387,3503
1388,3508
1389,3514
1390,3516
1391,3522
1392,3523
1393,3527
1394,3535
1395,3541
1396,3546
1397,3547
1398,3548
1399,3549
1400,3554
1401,3558
1402,3562
1403,3570
1404,3577
1405,3578
1406,3587
1407,3590
1408,3591
1409,3592
1410,3593
1411,3596
1412,3597
1413,3598
1414,3599
1415,3600
1416,3603
1417,3606
1418,3607
1419,3608
1420,3609
1421,3610
1422,3611
1423,3612
1424,3613
1425,3614
1426,3615
1427,3617
1428,3618
1429,3619
1430,3621
1431,3623
1432,3624
1433,3625
1434,3627
1435,3629
1436,3702
1437,3703
1438,3704
1439,3707
1440,3729
1441,3730
1442,3731
1443,3733
1444,3735
1445,3736
1446,3738
1447,3739
1448,3740
1449,3742
1450,3746
1451,3750
1452,3751
1453,3752
1454,3756
1455,3757
1456,3763
1457,3765
1458,3767
1459,3769
1460,3772
1461,3775
1462,3790
1463,3791
1464,3792
1465,3793
1466,3794
1467,3795
1468,3797
1469,3798
1470,3802
1471,3805
1472,3806
1473,3811
1474,3814
1475,3815
1476,3820
1477,3822
1478,3826
1479,3835
1480,3837
1481,3838
1482,3839
1483,3840
1484,3841
1485,3844
1486,3849
1487,3850
1488,3852
1489,3854
1490,3855
1491,3856
1492,3857
1493,3858
1494,3860
1495,3861
1496,3862
1497,3863
1498,3865
1499,3866
1500,3868
1501,3869
1502,3871
1503,3873
1504,3875
1505,3876
1506,3879
1507,3882
1508,3885
1509,3889
1510,3892
1511,3901
1512,3905
1513,3906
1514,3907
1515,3908
1516,3910
1517,3911
1518,3912
1519,3913
1520,3914
1521,3915
1522,3916
1523,3918
1524,3919
1525,3920
1526,3922
1527,3923
1528,3924
1529,3925
1530,3929
1531,3930
1532,3931
1533,3932
1534,3933
1535,3938
1536,3945
1537,3947
1538,3951
1539,3954
1540,3955
1541,3956
1542,3965
1543,3970
1544,3971
1545,3973
1546,3974
1547,3975
1548,3976
1549,3979
1550,3981
1551,3986
1552,3988
1553,3995
1554,3998
1555,3999
1556,4000
1557,4003
1558,4007
1559,4008
1560,4011
1561,4028
1562,4029
1563,4046
